race,movement,deployment,shock,contact_authority,block_geometry,melee_pressure,missile_pressure,bombardment,target_solutions,burst,sustain,block_damage,material_durability,avoidance,morale,restoration,block_survival,role_coverage,elite_orientation,battlefield_control,command_magic,block_architecture
beastmen,79.06949356406315,92.99213399900624,65.97586533403128,70.4679870890325,77.1263699965333,77.02904565321914,40.18903239899881,20.402728075678645,35.34397385190706,54.718595697672434,13.687720414309267,40.228516015297565,30.62530169637607,100.0,61.62207954610256,28.815591838999254,55.26574327036947,74.13124187673588,77.32688978160327,59.329766433757214,60.0,67.6969745230241
bretonnia,56.71310258971678,13.238353058923542,53.50860160030714,0.0,30.865014312236866,0.0,63.7227662983875,88.29998371463064,0.7480337030635528,29.567717073704333,8.688170243588315,31.837778505562387,0.0,0.0,65.65170710989909,0.0,16.412926777474773,29.86043902127287,63.26275539408859,9.172893584127806,68.75,42.761521999872315
chaos_dwarfs,39.3029809180689,0.0,59.33058711429994,98.44555806167484,49.269781523510915,55.653802975403195,84.40491144395328,97.12517062305463,55.330806250268786,75.54917380892184,84.69469595756784,75.45976017652826,54.711383148252736,24.32805561127861,72.90770554484578,0.0,37.98678607609428,91.76582882013476,72.04824510417325,45.57189284437832,65.0,68.59649169217158
daemons_of_chaos,100.0,67.7446456548844,100.0,86.97879328277132,88.68085973441393,100.0,76.31238312760459,42.965568190698896,100.0,64.60766773881154,93.755809025307,79.60690468040367,75.75587002271689,83.07376927113401,84.53531854848016,85.39363479803303,82.18964816009102,79.53828321256233,58.089367146320704,97.76146480235998,6.25,60.40977879031075
dark_elves,43.48848552535037,29.643521470563588,59.230261087048184,76.64853180008342,52.25269997076139,66.65394843272297,76.70865147123752,44.46408459926458,46.432717328748716,61.565415581605706,79.03417238568005,62.47649829987659,28.402694775535885,36.51408859950186,59.93478110385843,16.741772409272492,35.398334222042166,97.33646909336252,43.845858018173466,34.33171329820788,66.25,60.44101010243597
dwarfs,0.0,18.752072543546028,0.0,41.43251679644277,15.0461473349972,21.234476298751165,96.96976730954286,96.28269341056419,36.408016511594056,31.435499393153822,76.00116092697253,59.7219356417631,76.69026756838683,10.720638767555698,98.12630165305676,0.0,46.38430199724982,0.0,0.0,3.773809287852058,35.0,9.693452321963015
empire,52.287782689466255,11.029466978797437,39.01898929368024,46.17085712914386,37.12677402277195,2.1571768603743724,100.0,100.0,0.0,58.40253527604384,67.41079185026386,54.66175066444702,7.731482892099453,21.91934377760385,77.09628902754366,0.0,26.686778924311742,34.89858445764529,61.864381778257055,0.0,100.0,49.19074155897559
grand_cathay,44.41304526110252,24.298017156658407,51.33914616396907,61.190418168108245,45.31015668745956,34.23823778221725,83.6785246016877,66.4127501960485,5.416424912840929,45.916152548600344,38.87254083015274,45.755771811924575,18.168634842253976,25.324484613401395,60.8705853474179,0.0,26.09092620076832,96.17029591575118,45.77704000344624,30.596451323423572,93.75,66.57344681065524
greenskins,73.34623045861994,28.160028202551903,58.81808155612495,66.7836401174889,56.77699508369642,63.21540059690353,64.50608018071523,85.85037536179743,32.60068451477697,45.19305052929355,44.79177644876113,56.02622793870797,33.21974193858838,42.990045629555375,66.94871880446608,51.29999890083067,48.61462631836013,97.39762170805122,42.77719388128482,39.37129605771707,41.25,55.19902791176328
high_elves,67.06456920487659,34.86334778335815,64.48924379746747,97.77744696799442,66.04865193842416,65.84803353833568,68.98976273728198,30.18012860433983,27.97272409462094,55.82623272715907,77.45929257819209,54.379362379988265,60.05863045911509,72.72439238266763,97.01067255356931,11.019774405092049,60.20336745011102,100.0,57.243951496689405,42.77248131924761,100.0,75.00410820398426
khorne,74.51981243553583,20.52767712333969,66.89601569489382,59.666737581705,55.402560708868585,80.35325995690582,48.694937685172206,17.53110996310052,66.6882749527126,53.274019005494075,36.34162231672415,50.48053731335157,100.00000000000001,25.68818884753583,63.92241825727759,32.495733660709206,55.52658519138066,68.80468697753739,56.01857665268583,18.327047855519897,0.0,35.78757787143578
