race,movement__breadth,movement__ceiling,movement__cost_access,deployment__breadth,deployment__ceiling,deployment__cost_access,shock__breadth,shock__ceiling,shock__cost_access,contact_authority__breadth,contact_authority__ceiling,contact_authority__cost_access,melee_pressure__breadth,melee_pressure__ceiling,melee_pressure__cost_access,missile_pressure__breadth,missile_pressure__ceiling,missile_pressure__cost_access,bombardment__breadth,bombardment__ceiling,bombardment__cost_access,target_solutions__breadth,target_solutions__ceiling,target_solutions__cost_access,burst__breadth,burst__ceiling,burst__cost_access,sustain__breadth,sustain__ceiling,sustain__cost_access,material_durability__breadth,material_durability__ceiling,material_durability__cost_access,avoidance__breadth,avoidance__ceiling,avoidance__cost_access,morale__breadth,morale__ceiling,morale__cost_access,restoration__breadth,restoration__ceiling,restoration__cost_access,role_coverage__breadth,role_coverage__ceiling,role_coverage__cost_access,elite_orientation__breadth,elite_orientation__ceiling,elite_orientation__cost_access,battlefield_control__breadth,battlefield_control__ceiling,battlefield_control__cost_access,command_magic__breadth,command_magic__ceiling,command_magic__cost_access
beastmen,0.588544892,0.876761168,0.888036942,0.633823529,0.700000000,0.700000000,0.597058824,0.733561515,0.651459149,0.570261438,0.724985606,0.495229622,0.610196078,0.897232993,0.635238250,0.058823529,0.487538834,0.386201090,0.054010695,0.251922901,0.062980725,0.520168067,0.576117294,0.441571073,0.574705882,0.558559538,0.436191443,0.455602241,0.443177347,0.324058401,0.490522876,0.572492634,0.514261573,0.798235294,0.459392712,0.430063568,0.461764706,0.484910837,0.512188143,0.026470588,0.263333333,0.219444444,0.833333333,0.833713878,0.625000000,0.205882353,0.666666667,0.915539380,0.364705882,0.440000000,0.336666667,0.500000000,0.400000000,1.000000000
bretonnia,0.530263158,0.740463918,0.782130584,0.137500000,0.600000000,0.425000000,0.506617647,0.700277576,0.656596977,0.404166667,0.423251029,0.418930041,0.364166667,0.653588217,0.452824388,0.111029412,0.657975798,0.691884812,0.122727273,0.855179501,0.729722755,0.419642857,0.475611669,0.477553541,0.480000000,0.460083367,0.414206234,0.419642857,0.404108191,0.386190999,0.347222222,0.537598941,0.438322305,0.410000000,0.364561856,0.316635174,0.512500000,0.499143519,0.452097265,0.000000000,0.000000000,0.000000000,0.666666667,0.692796156,0.375000000,0.166666667,0.533333333,0.909094560,0.157500000,0.200000000,0.180000000,0.375000000,1.000000000,1.000000000
chaos_dwarfs,0.442275042,0.686426117,0.732753436,0.092741935,0.383333333,0.504166667,0.580834915,0.700125970,0.605926540,0.686738351,0.703597635,0.565640517,0.566451613,0.817205993,0.547980369,0.334724858,0.751875680,0.660783218,0.280938416,0.837727231,0.613688682,0.578187404,0.572542988,0.482534378,0.625161290,0.689642386,0.460842361,0.645314900,0.593419541,0.488267100,0.552329749,0.704879330,0.570833861,0.507096774,0.410407462,0.316161642,0.545806452,0.543698560,0.441068459,0.000000000,0.000000000,0.000000000,1.000000000,0.788874708,0.625000000,0.322580645,0.466666667,0.800242942,0.350967742,0.340000000,0.241666667,0.500000000,0.600000000,1.000000000
daemons_of_chaos,0.705316864,0.922079038,0.945060137,0.417346939,0.700000000,0.700000000,0.690456182,0.949560157,0.819120764,0.623242630,0.752320756,0.528339081,0.710544218,0.946226888,0.659341346,0.228991597,0.798513039,0.625985101,0.057792208,0.514323559,0.260718690,0.650340136,0.690531405,0.563140776,0.581020408,0.634978920,0.468982007,0.613605442,0.729453606,0.504196645,0.628571429,0.733287003,0.663043821,0.662448980,0.510231090,0.484120175,0.570204082,0.585540123,0.510902885,0.328649922,0.483333333,0.446944444,0.833333333,0.838837386,0.708333333,0.285714286,0.400000000,0.724065888,0.648775510,0.440000000,0.390000000,0.000000000,0.000000000,0.250000000
dark_elves,0.467332123,0.712585911,0.723646907,0.219827586,0.566666667,0.575000000,0.565314402,0.679726559,0.655684893,0.581226054,0.694456809,0.566120868,0.553103448,0.871735036,0.651259570,0.293509128,0.701217766,0.604020498,0.031034483,0.444592126,0.415028090,0.555829228,0.557515046,0.473973047,0.523448276,0.659596715,0.522026199,0.595566502,0.676168027,0.449701089,0.450957854,0.655343744,0.481697030,0.553793103,0.401973638,0.351202310,0.462758621,0.522299811,0.449525141,0.051458886,0.166666667,0.041666667,1.000000000,0.880007957,0.625000000,0.172413793,0.400000000,0.729674291,0.307586207,0.280000000,0.206666667,0.625000000,0.400000000,1.000000000
dwarfs,0.344129555,0.551675258,0.433075601,0.157692308,0.550000000,0.529166667,0.300000000,0.479929095,0.393045579,0.465811966,0.595703163,0.540772040,0.441538462,0.677984457,0.526780560,0.402262443,0.878931855,0.708602965,0.241958042,0.806928839,0.704984242,0.506593407,0.545168377,0.507837369,0.453846154,0.533293785,0.416315651,0.571794872,0.631138013,0.512635945,0.578632479,0.751989806,0.756344891,0.426153846,0.396074173,0.358384494,0.609230769,0.629902263,0.576054848,0.000000000,0.000000000,0.000000000,0.500000000,0.579292377,0.333333333,0.051282051,0.000000000,0.691655317,0.153846154,0.160000000,0.140000000,0.000000000,0.400000000,1.000000000
empire,0.505263158,0.763273196,0.738305412,0.097727273,0.433333333,0.633333333,0.443315508,0.679003039,0.561540256,0.533333333,0.632799513,0.416389130,0.380606061,0.680673748,0.418571692,0.399465241,0.892770866,0.775108437,0.254545455,0.833388143,0.730405591,0.439826840,0.471613922,0.435441089,0.518181818,0.683600634,0.469586709,0.542424242,0.679515791,0.439054818,0.380808081,0.553076820,0.456006617,0.481818182,0.374004788,0.379402197,0.470909091,0.572775206,0.619592657,0.000000000,0.000000000,0.000000000,0.666666667,0.733551354,0.416666667,0.181818182,0.533333333,0.857095318,0.120000000,0.186666667,0.120000000,1.000000000,1.000000000,1.000000000
grand_cathay,0.477676951,0.726030928,0.704349227,0.194827586,0.533333333,0.566666667,0.500405680,0.691993772,0.640931222,0.612260536,0.560082305,0.482629156,0.442068966,0.794332990,0.564364247,0.259634888,0.822178566,0.722741689,0.088087774,0.689851101,0.510633050,0.427914614,0.524071466,0.448386845,0.543448276,0.507495846,0.441319237,0.536781609,0.455846570,0.395135105,0.397701149,0.591611479,0.519132058,0.513103448,0.399238651,0.325129239,0.512413793,0.433850309,0.451579218,0.000000000,0.000000000,0.000000000,1.000000000,0.902596538,0.583333333,0.137931034,0.400000000,0.828602712,0.256551724,0.286666667,0.241666667,0.875000000,1.000000000,1.000000000
greenskins,0.570897833,0.844072165,0.864175258,0.227941176,0.550000000,0.550000000,0.505882353,0.754474000,0.692890871,0.509803922,0.711929133,0.592067805,0.503921569,0.932892323,0.647481622,0.164705882,0.644885201,0.616945332,0.150267380,0.746012606,0.733031881,0.496638655,0.545802590,0.497885911,0.494117647,0.573054145,0.465513167,0.558263305,0.472743651,0.393117072,0.464052288,0.633707490,0.539656769,0.560000000,0.409658354,0.394874482,0.542352941,0.466867284,0.442567515,0.139366516,0.400000000,0.275000000,1.000000000,0.922675053,0.583333333,0.137254902,0.466666667,0.716744742,0.260000000,0.400000000,0.263333333,0.125000000,0.400000000,1.000000000
high_elves,0.616140351,0.780326460,0.736630155,0.325000000,0.550000000,0.470833333,0.598039216,0.718633734,0.639501173,0.655555556,0.760105102,0.564764968,0.546666667,0.886505439,0.639756944,0.203921569,0.660215465,0.633787615,0.006666667,0.188389513,0.423876404,0.520000000,0.494892676,0.466546887,0.546666667,0.576292659,0.488183473,0.642857143,0.544156966,0.471741231,0.577777778,0.710292823,0.583917237,0.660000000,0.488860085,0.408475737,0.693333333,0.519847822,0.502507502,0.044102564,0.116666667,0.000000000,1.000000000,0.881915496,0.666666667,0.266666667,0.400000000,0.749044233,0.360000000,0.320000000,0.198333333,1.000000000,1.000000000,1.000000000
khorne,0.607655502,0.791838488,0.861726804,0.175000000,0.500000000,0.575000000,0.624598930,0.709786924,0.635580939,0.555555556,0.681910972,0.458853774,0.658787879,0.867859044,0.607050265,0.092513369,0.601688033,0.414496716,0.009090909,0.153430164,0.191787704,0.560606061,0.676063921,0.501361031,0.567272727,0.557660639,0.434158645,0.477922078,0.564936319,0.379032423,0.731313131,0.798621591,0.706849604,0.492727273,0.372368568,0.396333177,0.498181818,0.492074331,0.463937114,0.097902098,0.233333333,0.175000000,0.833333333,0.788240426,0.583333333,0.333333333,0.466666667,0.530032152,0.258181818,0.220000000,0.106666667,0.000000000,0.000000000,0.000000000
kislev,0.676043557,0.773797251,0.786297251,0.346551724,0.583333333,0.658333333,0.578498986,0.782626755,0.726214170,0.514559387,0.670607624,0.492072876,0.573793103,0.868183432,0.770069764,0.158012170,0.650228497,0.545310580,0.000000000,0.000000000,0.000000000,0.586863711,0.545742093,0.486292408,0.523448276,0.480406406,0.403570652,0.517733990,0.600435200,0.425108325,0.483524904,0.625382239,0.514804477,0.593793103,0.365468424,0.379063260,0.522758621,0.464362140,0.439304270,0.000000000,0.000000000,0.000000000,0.833333333,0.795012351,0.625000000,0.206896552,0.533333333,0.686652887,0.379310345,0.406666667,0.306666667,0.750000000,0.600000000,1.000000000
lizardmen,0.597286184,0.846048110,0.838058419,0.246875000,0.750000000,0.675000000,0.516084559,0.741437506,0.596105650,0.627777778,0.765929597,0.579696381,0.644583333,0.920136570,0.640036624,0.248713235,0.787846432,0.651034659,0.101988636,0.650443044,0.427204942,0.706696429,0.635304730,0.469593338,0.614687500,0.748758879,0.494073444,0.592708333,0.762430909,0.574031445,0.637152778,0.688841645,0.564077449,0.572500000,0.591457682,0.536691483,0.495000000,0.432229938,0.400158715,0.000000000,0.000000000,0.000000000,0.833333333,0.838077244,0.625000000,0.250000000,0.533333333,0.498269355,0.575937500,0.486666667,0.503333333,1.000000000,1.000000000,1.000000000
norsca,0.580169173,0.861726804,0.861726804,0.214285714,0.483333333,0.491666667,0.573949580,0.772453203,0.708751203,0.568055556,0.772541007,0.543684721,0.663333333,0.856551807,0.659694159,0.048214286,0.497327394,0.459172964,0.010714286,0.378085320,0.236303325,0.502976190,0.637746479,0.500705554,0.469642857,0.532504955,0.454906888,0.602380952,0.419170267,0.353175484,0.534325397,0.670440641,0.583641659,0.607142857,0.514989836,0.457936540,0.527142857,0.588366770,0.531912723,0.235576923,0.378888889,0.298611111,0.833333333,0.807211604,0.583333333,0.160714286,0.266666667,0.802199815,0.476071429,0.520000000,0.365000000,0.625000000,0.600000000,1.000000000
