race,movement__breadth,movement__ceiling,movement__access,movement__unit_tier_sensitivity,deployment__breadth,deployment__ceiling,deployment__access,deployment__unit_tier_sensitivity,shock__breadth,shock__ceiling,shock__access,shock__unit_tier_sensitivity,contact_authority__breadth,contact_authority__ceiling,contact_authority__access,contact_authority__unit_tier_sensitivity,melee_pressure__breadth,melee_pressure__ceiling,melee_pressure__access,melee_pressure__unit_tier_sensitivity,missile_pressure__breadth,missile_pressure__ceiling,missile_pressure__access,missile_pressure__unit_tier_sensitivity,bombardment__breadth,bombardment__ceiling,bombardment__access,bombardment__unit_tier_sensitivity,target_solutions__breadth,target_solutions__ceiling,target_solutions__access,target_solutions__unit_tier_sensitivity,burst__breadth,burst__ceiling,burst__access,burst__unit_tier_sensitivity,sustain__breadth,sustain__ceiling,sustain__access,sustain__unit_tier_sensitivity,material_durability__breadth,material_durability__ceiling,material_durability__access,material_durability__unit_tier_sensitivity,avoidance__breadth,avoidance__ceiling,avoidance__access,avoidance__unit_tier_sensitivity,morale__breadth,morale__ceiling,morale__access,morale__unit_tier_sensitivity,restoration__breadth,restoration__ceiling,restoration__access,restoration__unit_tier_sensitivity,role_coverage__breadth,role_coverage__ceiling,role_coverage__access,elite_orientation__breadth,elite_orientation__ceiling,elite_orientation__access,battlefield_control__breadth,battlefield_control__ceiling,battlefield_control__access,battlefield_control__unit_tier_sensitivity,command_magic__breadth,command_magic__ceiling,command_magic__access
beastmen,0.09481183487841541,0.1267260239800883,0.09082295485081661,0.11060105645388828,0.47148232941161333,0.18521992821082128,0.16285547809061884,0.15970163363217832,0.11697465721111128,0.008197952127779587,0.016197530975529496,0.022167367096842035,0.02846079535513578,0.061937214803862745,-0.024460247250911147,0.040512834077589314,0.09364215928888829,0.08370370966555023,0.027933716443114986,0.03534121373080371,-0.1934101665875977,-0.10253221374020911,-0.08654876156856878,0.0035540379510758677,-0.06069587171788158,-0.08497052072916127,-0.09826850600364814,0.0022115892218077656,-0.04849051596495152,0.007019486043595669,-0.05699299610460406,-0.04960675866937496,0.1017117928532967,-0.0068131947463669846,-0.003919327145449034,0.035343491604456115,-0.22577638942197698,-0.10284172875616272,-0.08665255913606738,0.02404655107297639,-0.048328071032056025,-0.14256453742433575,-0.04991242050695417,-0.08826169045062643,0.5212019180993895,0.0500119878275544,0.05344061059338165,0.07092496953458258,-0.10087100644337627,-0.013761731870600973,0.050613239929223265,0.05378089508085942,-0.11170486928667288,0.06843797132766734,0.058256312789793305,0.03699889902512411,-0.03268602252303056,0.04592354902712219,0.1077956956060822,-0.04718207077471768,0.17988372919296736,0.22974296425177795,-0.04352739213412883,0.12798083137326632,0.07254417721897685,0.0961664852009235,0.003460725593653626,-0.10640022322664333,0.04304290969503714
bretonnia,-0.03499816657586476,-0.08093313311565005,-0.00990617128480936,-0.010805179578027737,-0.175345217302494,0.02209045015358402,-0.22505892385756185,-0.126137222495924,-0.07402519603868207,-0.041751053185694456,0.022233016810914583,0.01498239076530332,-0.4498007084438195,-0.4837896263245407,-0.1851103668056442,-0.32410803207901706,-0.3202466445565497,-0.2821159991221066,-0.15763761229037573,-0.18502924898661244,-0.11654883424687484,0.0010604697056434877,0.06543684784712975,0.06555087621720417,0.08103959143148924,0.15272093214159488,0.11304792833282705,0.08924439487797559,-0.30095466533952653,-0.17678535786283722,0.007923784835373097,-0.049605444356799124,-0.10538908037565037,-0.14557095456007246,-0.043035379484775226,-0.07858849865022535,-0.328133419630154,-0.14317694307545203,-0.01991367509817169,-0.06699045874674171,-0.33418005782224347,-0.2067707720372574,-0.14114717388971545,-0.12060300932123817,-0.29505735674017186,-0.1655603555907378,-0.1558561781986767,-0.14709340796290063,0.008041965583727337,0.00936086782286481,-0.020354925451733237,-0.02083741877580521,-0.14952965588754805,-0.14006507147456712,-0.08629802440356903,-0.10061740808941305,-0.29417420270727607,-0.22183396538517594,-0.2902191804779134,-0.12855902751768206,0.061604016846906653,0.22068205516416872,-0.30831361411797464,-0.2333768101512505,-0.09811240652034717,-0.13418141672849013,-0.0795966886540337,0.1882465487855997,0.04304290969503714
chaos_dwarfs,-0.23097273116697473,-0.16326380428691978,-0.05686951766197498,-0.10471625711576975,-0.23367561542194545,-0.331356752303763,-0.11338659602399472,-0.1781079236101243,0.08271189832759208,-0.04197856664989497,-0.03729032302206256,-0.07737557054412973,0.36385018370381195,0.023254243692904745,0.12379113950940426,-0.0009254643720929626,0.020051996298058698,-0.036452586211896044,-0.06083454186035232,-0.04829385879050635,0.21279202232075686,0.058133422170950126,0.04997316975372714,0.032448330915074146,0.40736739368439606,0.1458444961124667,0.07627222569506695,0.08728822755166218,0.0972222111400607,0.0004827897766551006,0.016909824440176687,0.011521895772115544,0.21204663996124498,0.17788897344803029,0.03993955276777253,0.05784213071727559,0.3142335431057819,0.05226914840638677,0.08972997960541873,0.06944753800994267,0.07496248684861256,0.10103396304310559,0.018054505922212877,0.004302415210939202,-0.09091274728982802,-0.06134275011712946,-0.15672993382455264,-0.109214704812143,0.07954060762227767,0.08174556654401018,-0.03338009993397929,-0.004687596584015718,-0.14952965588754805,-0.14006507147456712,-0.08629802440356903,-0.10061740808941305,0.22880215766121478,-0.03927527917341394,0.1077956956060822,0.19498000211361977,0.0024641606738763054,0.06764526639749044,-0.06108321756202827,-0.022584852595282322,-0.030939070367634505,-0.03481565511188032,0.003460725593653626,-0.008184632555895667,0.04304290969503714
daemons_of_chaos,0.35489623652378244,0.195771221186519,0.14505857235032685,0.15247035946914517,0.189361870185681,0.18521992821082128,0.16285547809061884,0.1467089583536282,0.31421757850308313,0.3323457972104339,0.21315220325241208,0.22483965899065547,0.18101746283875417,0.1113764434055391,0.04525230595808621,0.07466872641396226,0.2624551927662789,0.15726544392543518,0.05245402241866731,0.0666495449479293,0.05712375371817906,0.0864799093408338,0.032671584081982834,0.025602596560874234,-0.05289608803150709,0.018418971517217345,-0.03559766814535973,-0.014981605454362897,0.2784302693922634,0.21626019265552102,0.16233364273595832,0.1088591106475946,0.11552026785880128,0.10086546590196788,0.054421599959361265,0.0481068628261791,0.22397376640162836,0.19271147296325566,0.10684048271681723,0.1094300473745264,0.2270471773597291,0.15330557821231175,0.12883714946021488,0.10592601272711308,0.23571309133036425,0.16557931130420642,0.15318524906199454,0.1194018808307661,0.1319147673089641,0.1497219146820688,0.049095332225888695,0.04014293163775459,0.3200901741253059,0.24263038683333166,0.2081170750193678,0.15632443114342534,-0.03268602252303056,0.05565871800506968,0.24046732096741413,0.1184781625948883,-0.05667569549915404,-0.03945366210768131,0.3194822033702087,0.12798083137326632,0.13064003551321474,0.136816114953173,-0.3287689313970957,-0.3028314045681388,-0.3996841614539165
dark_elves,-0.1751634834367186,-0.12340738239240231,-0.06553087427959935,-0.03645749903103715,-0.06805280125239409,-0.03228604253216167,-0.013469250067645386,-0.048181170824623316,0.04993461900849253,-0.07259183899814026,0.02116157722647754,0.006811102537528636,0.0600328524948398,0.00672185286706917,0.12480252756554504,0.13944507661680314,-0.002403269726944718,0.04541987988793267,0.04423235519602241,0.09838456968200174,0.15211119919469027,0.02734321630846209,0.02175080763381376,-0.008878056003900457,-0.10808682491367282,-0.009056178667734154,0.0133089714564984,-0.0014197081589857924,0.04107074607191509,-0.0270003341172648,0.0014641341511603281,-0.02376864079738067,-0.010377285461020904,0.13555314726652812,0.14879775159682176,0.1332065029577713,0.1726266045629381,0.13769914470043268,0.04830482405823393,0.08372892011357165,-0.12725122800294794,0.00988587277461357,-0.08903602713165122,-0.042407597488166436,0.0072656317309696405,-0.08051477055204738,-0.09207328975181994,-0.037774978752128235,-0.09873737900536407,0.04698088206421595,-0.02339263935048542,0.008870879571048606,-0.07599818155233656,-0.008101120333912392,-0.05885099835419643,0.030030984740843772,0.22880215766121478,0.13388684558235878,0.1077956956060822,-0.11663309420190275,-0.05667569549915404,-0.0315686903128949,-0.11652002580501401,-0.11292426297641163,-0.06906447737322816,-0.0393322806399081,0.08651813984134095,-0.10640022322664333,0.04304290969503714
dwarfs,-0.449570653598559,-0.36856691673864755,-0.3418976046565782,-0.31079480429238976,-0.14902984018831325,-0.05947428887503443,-0.07812165039234191,-0.10015187193882377,-0.5103744542760148,-0.37242667702538695,-0.28736485448581955,-0.2802376522785188,-0.27229618346126405,-0.17188716206205595,0.07143012047462359,-0.015581968535942629,-0.19008611049207866,-0.24548633839619802,-0.08240130644000317,-0.09822751086700988,0.3122258138813832,0.13535898344689953,0.07374909503088886,0.0564320079156342,0.3269661044146987,0.13370950314088567,0.10520733318583465,0.09801571604624676,-0.08258261233576454,-0.049579942069907915,0.06255951997326083,0.029064119603915552,-0.1625817725525884,-0.04241388218216203,-0.03928230836566334,-0.029093702270306273,0.1049615540414909,0.09120990858955694,0.11590544209108093,0.08825529537226907,0.12743040869772324,0.1877197229826418,0.24093067138233393,0.2138208447539155,-0.26109412117866554,-0.09392561248241706,-0.0788208065538127,-0.09640698375061107,0.21569298538389758,0.2217932235513359,0.12604071008059475,0.12452911493236117,-0.14952965588754805,-0.14006507147456712,-0.08629802440356903,-0.10061740808941305,-0.5556623828915214,-0.43750229420067205,-0.35655499315857936,-0.36799507331909637,-0.41151483253733623,-0.08502036889433968,-0.3129828257629374,-0.29360308373867,-0.1416843002410256,-0.17031442095271188,-0.3287689313970957,-0.10640022322664333,0.04304290969503714
empire,-0.0906802787534641,-0.046181474616489214,-0.05158895000712628,-0.0053749472033963325,-0.2271785358607289,-0.24979201327514444,0.0688156230728781,-0.048181170824623316,-0.20771097654685214,-0.07367762133728013,-0.08943157273209044,-0.03296695791990385,-0.07787181640931459,-0.10479351213611285,-0.19046029944328421,-0.15855733540363692,-0.29259108482198065,-0.24144851097950587,-0.1924832009219636,-0.21857317683269378,0.3081075665856721,0.143770422908682,0.10681554230986584,0.10438148379384932,0.35292902074137183,0.14413483523110804,0.11326434540635127,0.08577950114497808,-0.25026357983925174,-0.18409644342179016,-0.0680522394502238,-0.14567688234208725,-0.021893866662794203,0.16937584790799984,0.05549748374490565,0.15723066884761705,0.021359164792260514,0.14115539511378195,0.03686927625667017,0.08388082082388454,-0.26718396140546996,-0.17829065724655022,-0.11990093429737257,-0.10541563060847994,-0.14406063413555326,-0.14409439934999568,-0.040039178207183265,-0.09491537907857298,-0.08124084231517098,0.12898386355044933,0.17745946965340714,0.13877245114331757,-0.14952965588754805,-0.14006507147456712,-0.08629802440356903,-0.10061740808941305,-0.29417420270727607,-0.1443950846743398,-0.22388336779724743,-0.09711793059426396,0.061604016846906653,0.1475752219563052,-0.356234470474171,-0.25345223468039035,-0.16347024710136476,-0.16579779542468417,0.3356903825844029,0.1882465487855997,0.04304290969503714
grand_cathay,-0.15212260943219472,-0.10292288312641855,-0.08388518777237157,-0.06201153373518475,-0.10063374434614172,-0.08666253521790737,-0.025224231944862625,-0.048181170824623316,-0.08714405335468967,-0.05418250666664652,0.003830214000285952,0.011783687746980364,0.1493950779447321,-0.236312189466505,-0.05099075093574336,-0.09084477691223082,-0.18919365761159776,-0.07079518662086563,-0.04416706974605714,-0.03590316600485897,0.10223905737477489,0.10086396874819688,0.08077885309335678,0.08323383581131634,0.00959183414553914,0.08757925327576091,0.04360989506010938,0.060692302310305396,-0.28018055218220767,-0.0881620054050915,-0.0446965098355431,-0.08342305898617437,0.033358302674284475,-0.07876444398008818,0.005204036609242014,-0.012033291486727186,0.005297622030092906,-0.08976195281223318,-0.010306485391322473,-0.06433529052441724,-0.23348615817795107,-0.10738485444479154,-0.04406093590376441,-0.08298514735503171,-0.07828379905942522,-0.08673202608744086,-0.14018302600281984,-0.09678863436444765,0.007856906061042656,-0.09671532924086486,-0.02096674616697723,-0.024722926665720756,-0.14952965588754805,-0.14006507147456712,-0.08629802440356903,-0.10061740808941305,0.22880215766121478,0.17680736889636442,0.04145988292541633,-0.18818869409657832,-0.05667569549915404,0.10751686611270099,-0.18173645560471113,-0.10288655071184163,-0.030939070367634474,-0.04836553169596355,0.2526329683367156,0.1882465487855997,0.04304290969503714
greenskins,0.05550681451775682,0.07692185803308028,0.06812774918529634,0.08492416581366326,-0.05747886434570111,-0.05947428887503443,-0.04873419569929804,-0.03518849554607321,-0.07557804037404624,0.039581189974394415,0.0648680104629248,0.06559461786928347,-0.14562356903799104,0.038322858200482035,0.17943426279112584,0.09232471921742394,-0.08514065137795966,0.13724430187072392,0.040389013296692054,0.09651842374794337,-0.03752239395289216,-0.0068960796423427175,0.028177020886009537,0.0021731153868416774,0.13784407666256004,0.10970766400964199,0.11409671876605972,0.06504930448843167,-0.10758348300769424,-0.048420091657980016,0.044605870984160675,0.0001674555482849649,-0.07451690051543457,0.013610417589808126,0.04824984400101931,0.06952419525378346,0.0664444602083788,-0.0723173117479727,-0.012474127974471432,-0.002791556707365692,-0.10113083256000403,-0.029925975085506658,-0.019402192614160617,-0.033371025866046865,0.020315544902386032,-0.06304564383224319,-0.011489892263187222,-0.009955961217521646,0.07212698970402327,-0.04307552219339397,-0.03160969278362127,-0.027970420620072337,0.04961622912218778,0.1766484112630042,0.09485234752229013,0.12148485972202352,0.22880215766121478,0.21495852056624098,0.04145988292541633,-0.18959174507490523,0.0024641606738763054,-0.04974661626896463,-0.17732994007770464,0.06775455778584696,-0.007337627935600364,-0.025782404055824937,-0.24571151714940836,-0.10640022322664333,0.04304290969503714
high_elves,0.15627477314999483,-0.02019953784781353,-0.05318231278112329,-0.09768889757212915,0.06901185590061322,-0.05947428887503443,-0.16040652353286516,-0.1781079236101243,0.11904511632493017,-0.014204079291096676,0.002150313360128664,-0.0500564045856046,0.2740608986340877,0.12545546265570295,0.1219476572274881,0.048198426427567595,-0.01323169801011313,0.06759685540677737,0.0325306269731754,0.03040555866748661,0.020213818134035864,0.002421753446394343,0.036550985659404095,0.02793499408816364,-0.15834811299537285,-0.11000355531831922,0.016113345875794223,0.0017641483021784362,-0.04891260858668517,-0.14152422260535297,-0.011933568685735302,-0.072000650026269,0.040396213408701545,0.018173642281233873,0.08858482059149973,0.018036033355462888,0.3072376296172938,0.0014101913583388867,0.07197894254115841,0.06208474438712493,0.12572547622673538,0.11099507613285961,0.03377310099841816,0.05102537461316934,0.23056414599742445,0.11699810224913505,0.013606988395795992,0.0378944550458769,0.3962351576687378,0.04299734883589756,0.039180267473822084,0.04032457369141355,-0.08650989747104722,-0.04769030567610881,-0.08629802440356903,-0.05489047059882318,0.22880215766121478,0.13751135715846383,0.1741315082867481,0.07895221217687706,-0.05667569549915404,-0.004336079479384555,-0.04954098979451425,-0.05269798938899209,-0.07814195523170284,-0.0664320338080743,0.3356903825844029,0.1882465487855997,0.04304290969503714
