faction_a_key,faction_b_key,start_region_a,start_region_b,province_a,province_b,centroid_distance,raster_hops,same_province,neighboring_province,shared_theater_keys,theater,proximity_class,geographic_envelope,geographic_reason,geometry_status_a,geometry_status_b,route_networks_a,route_networks_b,strategic_note,island_or_disconnected,faction_a_name,race_a,subculture_a,faction_b_name,race_b,subculture_b,diplomatic_class,treaty_eligibility_unresolved,diplomacy_evidence_status,evidence_ids,analytical_inference,diplomatic_caveat,single_player_objective_pressure,evidence_note,included,exclusion_reason
wh2_dlc09_skv_clan_rictus,wh3_dlc23_chd_legion_of_azgorh,wh3_main_combi_region_crookback_mountain,wh3_main_combi_region_black_fortress,wh3_main_combi_province_the_desolation_of_azgorh,wh3_main_combi_province_the_howling_wastes,74.681577,2,False,True,cai_region_hint_area_darklands,darklands,Regional,True,Within 100 units with neighboring provinces or at most four raster borders,exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,,irory_road_bhashiva;ivory_road_combi,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,Clan Rictus,skaven,wh2_main_sc_skv_skaven,The Legion of Azgorh,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Workable,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,chaos_dwarfs_0;skaven_0,Non-Order pragmatic-alliance prior; not a numeric diplomatic guarantee Partner appears in single-player faction objective(s); not treated as a multiplayer forced-war lock,"Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",wh3_dlc23_chd_legion_of_azgorh:short:001:DESTROY_FACTION,Tower-seat usurpation causes a five-turn diplomatic penalty; coordinate seat claims. Vermintide war declaration explicitly excludes teammates; this is not blanket protection against all Under-City damage.,True,
wh2_dlc09_skv_clan_rictus,wh3_dlc26_grn_gorbad_ironclaw,wh3_main_combi_region_crookback_mountain,wh3_main_combi_region_black_crag,wh3_main_combi_province_the_desolation_of_azgorh,wh3_main_combi_province_death_pass,44.863,1,False,True,,darklands <-> dwarf_empire,Immediate,True,Same province or adjacent starts within 100 logical units,exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,,convoy_road_combi,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,Clan Rictus,skaven,wh2_main_sc_skv_skaven,Ironclaw Orcs,greenskins,wh_main_sc_grn_greenskins,Workable,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,greenskins_0;skaven_0,Non-Order pragmatic-alliance prior; not a numeric diplomatic guarantee,"Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",,Leader-defeat confederation requires an AI loser; it cannot consume the human teammate. Vermintide war declaration explicitly excludes teammates; this is not blanket protection against all Under-City damage.,True,
wh2_dlc09_skv_clan_rictus,wh_main_grn_crooked_moon,wh3_main_combi_region_crookback_mountain,wh3_main_combi_region_mount_gunbad,wh3_main_combi_province_the_desolation_of_azgorh,wh3_main_combi_province_deadrock_gap,64.236634,2,False,True,,darklands <-> dwarf_empire,Regional,True,Within 100 units with neighboring provinces or at most four raster borders,exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,,,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,Clan Rictus,skaven,wh2_main_sc_skv_skaven,Crooked Moon,greenskins,wh_main_sc_grn_greenskins,Workable,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,greenskins_0;skaven_0,Non-Order pragmatic-alliance prior; not a numeric diplomatic guarantee,"Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",,Leader-defeat confederation requires an AI loser; it cannot consume the human teammate. Vermintide war declaration explicitly excludes teammates; this is not blanket protection against all Under-City damage.,True,
wh2_dlc09_tmb_exiles_of_nehek,wh2_dlc16_wef_sisters_of_twilight,wh3_main_combi_region_clarak_spire,wh3_main_combi_region_the_witchwood,wh3_main_combi_province_red_desert,wh3_main_combi_province_the_witchwood,40.193375,2,False,True,cai_region_hint_area_naggarond,naggarond,Regional,True,Within 100 units with neighboring provinces or at most four raster borders,exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,,,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,Exiles of Nehek,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Heralds of Ariel,wood_elves,wh_dlc05_sc_wef_wood_elves,Workable,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,tomb_kings_0;tomb_kings_1;wood_elves_0;wood_elves_1,Independent Tomb King coexistence prior,"Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",,Human participants lock Cult confederation rituals. Books of Nagash are competitive shared multiplayer rewards; team ownership does not duplicate them. Rebirth completion is global and one-time in co-op; Ariel is globally unique. Drycha can confederate only Argwylon; not a general ban on Wood Elf alliances.,True,
wh2_dlc09_tmb_exiles_of_nehek,wh2_main_def_cult_of_pleasure,wh3_main_combi_region_clarak_spire,wh3_main_combi_region_ancient_city_of_quintex,wh3_main_combi_province_red_desert,wh3_main_combi_province_titan_peaks,53.902634,4,False,False,cai_region_hint_area_naggarond,naggarond,Regional,True,Within 100 units with neighboring provinces or at most four raster borders,exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,,,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,Exiles of Nehek,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Cult of Pleasure,dark_elves,wh2_main_sc_def_dark_elves,Workable,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,dark_elves_0;dark_elves_1;tomb_kings_0;tomb_kings_1,Independent Tomb King coexistence prior,"Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",,Har Ganeth Blood Voyage is a forced vassal targeting occupied Ulthuan settlements; not a general alliance ban. Hag Graef gains conditional +25/+50 daemon relations at high possession; not a permanent faction-wide alliance guarantee. Human participants lock Cult confederation rituals. Books of Nagash are competitive shared multiplayer rewards; team ownership does not duplicate them.,True,
wh2_dlc09_tmb_exiles_of_nehek,wh2_main_def_hag_graef,wh3_main_combi_region_clarak_spire,wh3_main_combi_region_hag_graef,wh3_main_combi_province_red_desert,wh3_main_combi_province_the_black_flood,122.877281,4,False,False,cai_region_hint_area_naggarond,naggarond,Extended,True,Shared atlas theater and either at most six raster borders or at most 75 logical units,exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,,,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,Exiles of Nehek,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Hag Graef,dark_elves,wh2_main_sc_def_dark_elves,Workable,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,dark_elves_0;dark_elves_1;tomb_kings_0;tomb_kings_1,Independent Tomb King coexistence prior,"Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",,Har Ganeth Blood Voyage is a forced vassal targeting occupied Ulthuan settlements; not a general alliance ban. Hag Graef gains conditional +25/+50 daemon relations at high possession; not a permanent faction-wide alliance guarantee. Human participants lock Cult confederation rituals. Books of Nagash are competitive shared multiplayer rewards; team ownership does not duplicate them.,True,
wh2_dlc09_tmb_exiles_of_nehek,wh2_main_def_naggarond,wh3_main_combi_region_clarak_spire,wh3_main_combi_region_naggarond,wh3_main_combi_province_red_desert,wh3_main_combi_province_iron_foothills,135.153696,5,False,False,cai_region_hint_area_naggarond,naggarond,Extended,True,Shared atlas theater and either at most six raster borders or at most 75 logical units,exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,,convoy_road_combi,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,Exiles of Nehek,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Naggarond,dark_elves,wh2_main_sc_def_dark_elves,Workable,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,dark_elves_0;dark_elves_1;tomb_kings_0;tomb_kings_1,Independent Tomb King coexistence prior,"Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",,Har Ganeth Blood Voyage is a forced vassal targeting occupied Ulthuan settlements; not a general alliance ban. Hag Graef gains conditional +25/+50 daemon relations at high possession; not a permanent faction-wide alliance guarantee. Human participants lock Cult confederation rituals. Books of Nagash are competitive shared multiplayer rewards; team ownership does not duplicate them.,True,
wh2_dlc09_tmb_exiles_of_nehek,wh2_main_hef_nagarythe,wh3_main_combi_region_clarak_spire,wh3_main_combi_region_the_monoliths,wh3_main_combi_province_red_desert,wh3_main_combi_province_granite_hills,139.890092,5,False,False,cai_region_hint_area_naggarond,naggarond,Extended,True,Shared atlas theater and either at most six raster borders or at most 75 logical units,exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,,,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,Exiles of Nehek,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Nagarythe,high_elves,wh2_main_sc_hef_high_elves,Workable,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,high_elves_0;tomb_kings_0;tomb_kings_1,Independent Tomb King coexistence prior,"Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",,Eataine can unlock Champion actions through alliances with other legendary High Elf factions. Human participants lock Cult confederation rituals. Books of Nagash are competitive shared multiplayer rewards; team ownership does not duplicate them.,True,
wh2_dlc09_tmb_exiles_of_nehek,wh3_dlc24_ksl_daughters_of_the_forest,wh3_main_combi_region_clarak_spire,wh3_main_combi_region_bleak_hold_fortress,wh3_main_combi_province_red_desert,wh3_main_combi_province_the_bleak_coast,57.022318,4,False,False,cai_region_hint_area_naggarond,naggarond,Regional,True,Within 100 units with neighboring provinces or at most four raster borders,exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,,,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,Exiles of Nehek,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Daughters of the Forest,kislev,wh3_main_sc_ksl_kislev,Workable,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,kislev_0;tomb_kings_0;tomb_kings_1,Independent Tomb King coexistence prior,"Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",,Old supporter-race forced confederation and intra-Kislev war ban are obsolete; ordinary diplomacy applies. Human participants lock Cult confederation rituals. Books of Nagash are competitive shared multiplayer rewards; team ownership does not duplicate them.,True,
wh2_dlc09_tmb_exiles_of_nehek,wh3_main_dwf_the_ancestral_throng,wh3_main_combi_region_clarak_spire,wh3_main_combi_region_drackla_spire,wh3_main_combi_province_red_desert,wh3_main_combi_province_iron_coast,96.24078,4,False,True,cai_region_hint_area_naggarond,naggarond,Regional,True,Within 100 units with neighboring provinces or at most four raster borders,exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,,,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,Exiles of Nehek,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,The Ancestral Throng,dwarfs,wh_main_sc_dwf_dwarfs,Workable,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,dwarfs_0;dwarfs_1;tomb_kings_0;tomb_kings_1,Independent Tomb King coexistence prior,"Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",,Grudge accumulation responds to hostile conduct; positive diplomacy reduces it. Different allied Dwarf owners can enable conditional Deeps trade/diplomacy benefits. Human participants lock Cult confederation rituals. Books of Nagash are competitive shared multiplayer rewards; team ownership does not duplicate them.,True,
