faction_a_key,faction_b_key,start_region_a,start_region_b,province_a,province_b,centroid_distance,raster_hops,same_province,neighboring_province,shared_theater_keys,theater,proximity_class,geographic_envelope,geographic_reason,geometry_status_a,geometry_status_b,route_networks_a,route_networks_b,strategic_note,island_or_disconnected,faction_a_name,race_a,subculture_a,faction_b_name,race_b,subculture_b,diplomatic_class,treaty_eligibility_unresolved,diplomacy_evidence_status,evidence_ids,analytical_inference,diplomatic_caveat,single_player_objective_pressure,evidence_note,included,exclusion_reason
wh2_dlc09_skv_clan_rictus,wh2_dlc09_tmb_lybaras,wh3_main_combi_region_crookback_mountain,wh3_main_combi_region_lybaras,wh3_main_combi_province_the_desolation_of_azgorh,wh3_main_combi_province_crater_of_the_waking_dead,147.261258,6,False,False,,darklands <-> southlands,Extended,False,Extended requires shared atlas theater AND (at most six raster borders OR at most 75 logical units),exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,,,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,Clan Rictus,skaven,wh2_main_sc_skv_skaven,Court of Lybaras,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Conflict,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,khalida_lahmia;skaven_0;tomb_kings_0;tomb_kings_1,Opposed Tomb King ecosystem prior Do not generalize this scripted lock to every playable vampire.,"Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",,Khalida has permanent no-peace with the nonplayable Lahmian Sisterhood. Vermintide war declaration explicitly excludes teammates; this is not blanket protection against all Under-City damage. Human participants lock Cult confederation rituals. Books of Nagash are competitive shared multiplayer rewards; team ownership does not duplicate them.,False,Extended requires shared atlas theater AND (at most six raster borders OR at most 75 logical units); Diplomatic Conflict: Opposed Tomb King ecosystem prior Do not generalize this scripted lock to every playable vampire.
wh2_dlc09_skv_clan_rictus,wh2_dlc15_grn_bonerattlaz,wh3_main_combi_region_crookback_mountain,wh3_main_combi_region_khazid_irkulaz,wh3_main_combi_province_the_desolation_of_azgorh,wh3_main_combi_province_northern_worlds_edge_mountains,130.850634,5,False,False,,darklands <-> dwarf_empire,Extended,False,Extended requires shared atlas theater AND (at most six raster borders OR at most 75 logical units),exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,,,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,Clan Rictus,skaven,wh2_main_sc_skv_skaven,Bonerattlaz,greenskins,wh_main_sc_grn_greenskins,Workable,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,greenskins_0;skaven_0,Non-Order pragmatic-alliance prior; not a numeric diplomatic guarantee,"Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",,Leader-defeat confederation requires an AI loser; it cannot consume the human teammate. Vermintide war declaration explicitly excludes teammates; this is not blanket protection against all Under-City damage.,False,Extended requires shared atlas theater AND (at most six raster borders OR at most 75 logical units)
wh2_dlc09_skv_clan_rictus,wh2_dlc15_hef_imrik,wh3_main_combi_region_crookback_mountain,wh3_main_combi_region_the_fortress_of_vorag,wh3_main_combi_province_the_desolation_of_azgorh,wh3_main_combi_province_the_plain_of_bones,68.821324,3,False,False,cai_region_hint_area_darklands,darklands,Regional,True,Within 100 units with neighboring provinces or at most four raster borders,exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,,,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,Clan Rictus,skaven,wh2_main_sc_skv_skaven,Knights of Caledor,high_elves,wh2_main_sc_hef_high_elves,Conflict,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,high_elves_0;skaven_0,Opposed surrounding diplomatic ecosystems prior Partner appears in single-player faction objective(s); not treated as a multiplayer forced-war lock,"Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",wh2_dlc09_skv_clan_rictus:short:001:DESTROY_FACTION;wh2_dlc15_hef_imrik:short:001:DESTROY_FACTION,Eataine can unlock Champion actions through alliances with other legendary High Elf factions. Vermintide war declaration explicitly excludes teammates; this is not blanket protection against all Under-City damage.,False,Diplomatic Conflict: Opposed surrounding diplomatic ecosystems prior Partner appears in single-player faction objective(s); not treated as a multiplayer forced-war lock
wh2_dlc09_skv_clan_rictus,wh2_main_skv_clan_mors,wh3_main_combi_region_crookback_mountain,wh3_main_combi_region_misty_mountain,wh3_main_combi_province_the_desolation_of_azgorh,wh3_main_combi_province_blightwater,118.120647,4,False,False,,darklands <-> dwarf_empire,Extended,False,Extended requires shared atlas theater AND (at most six raster borders OR at most 75 logical units),exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,,,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,Clan Rictus,skaven,wh2_main_sc_skv_skaven,Clan Mors,skaven,wh2_main_sc_skv_skaven,Clean,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,skaven_0,Same-race ecosystem prior,"Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",,Vermintide war declaration explicitly excludes teammates; this is not blanket protection against all Under-City damage.,False,Extended requires shared atlas theater AND (at most six raster borders OR at most 75 logical units)
wh2_dlc09_skv_clan_rictus,wh3_main_ogr_goldtooth,wh3_main_combi_region_crookback_mountain,wh3_main_combi_region_great_hall_of_greasus,wh3_main_combi_province_the_desolation_of_azgorh,wh3_main_combi_province_ivory_road,126.764492,5,False,False,,darklands <-> mountains_of_mourn,Extended,False,Extended requires shared atlas theater AND (at most six raster borders OR at most 75 logical units),exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,,convoy_road_combi;irory_road_bhashiva;ivory_road_combi,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,Clan Rictus,skaven,wh2_main_sc_skv_skaven,Goldtooth,ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,Workable,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,ogre_kingdoms_0;skaven_0,Ogre mercenary-neutral ecosystem prior; faction restrictions take precedence,"Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",,Ogre trespass diplomacy immunity is official-source-only in the guide; battle confederation requires an AI loser. Vermintide war declaration explicitly excludes teammates; this is not blanket protection against all Under-City damage.,False,Extended requires shared atlas theater AND (at most six raster borders OR at most 75 logical units)
wh2_dlc09_skv_clan_rictus,wh_main_dwf_dwarfs,wh3_main_combi_region_crookback_mountain,wh3_main_combi_region_karaz_a_karak,wh3_main_combi_province_the_desolation_of_azgorh,wh3_main_combi_province_the_silver_road,77.282462,3,False,True,,darklands <-> dwarf_empire,Regional,True,Within 100 units with neighboring provinces or at most four raster borders,exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,,ivory_road_combi,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,Clan Rictus,skaven,wh2_main_sc_skv_skaven,Karaz-a-Karak,dwarfs,wh_main_sc_dwf_dwarfs,Conflict,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,dwarfs_0;dwarfs_1;skaven_0,Opposed surrounding diplomatic ecosystems prior,"Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",,Grudge accumulation responds to hostile conduct; positive diplomacy reduces it. Different allied Dwarf owners can enable conditional Deeps trade/diplomacy benefits. Vermintide war declaration explicitly excludes teammates; this is not blanket protection against all Under-City damage.,False,Diplomatic Conflict: Opposed surrounding diplomatic ecosystems prior
wh2_dlc09_skv_clan_rictus,wh_main_dwf_karak_kadrin,wh3_main_combi_region_crookback_mountain,wh3_main_combi_region_karak_kadrin,wh3_main_combi_province_the_desolation_of_azgorh,wh3_main_combi_province_peak_pass,120.814079,4,False,False,,darklands <-> dwarf_empire,Extended,False,Extended requires shared atlas theater AND (at most six raster borders OR at most 75 logical units),exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,,,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,Clan Rictus,skaven,wh2_main_sc_skv_skaven,Karak Kadrin,dwarfs,wh_main_sc_dwf_dwarfs,Conflict,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,dwarfs_0;dwarfs_1;skaven_0,Opposed surrounding diplomatic ecosystems prior,"Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",,Grudge accumulation responds to hostile conduct; positive diplomacy reduces it. Different allied Dwarf owners can enable conditional Deeps trade/diplomacy benefits. Vermintide war declaration explicitly excludes teammates; this is not blanket protection against all Under-City damage.,False,Extended requires shared atlas theater AND (at most six raster borders OR at most 75 logical units); Diplomatic Conflict: Opposed surrounding diplomatic ecosystems prior
wh2_dlc09_skv_clan_rictus,wh_main_vmp_schwartzhafen,wh3_main_combi_region_crookback_mountain,wh3_main_combi_region_castle_drakenhof,wh3_main_combi_province_the_desolation_of_azgorh,wh3_main_combi_province_southern_sylvania,117.326012,5,False,False,,darklands <-> empire,Extended,False,Extended requires shared atlas theater AND (at most six raster borders OR at most 75 logical units),exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,,ivory_road_combi,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,Clan Rictus,skaven,wh2_main_sc_skv_skaven,Sylvania,vampire_counts,wh_main_sc_vmp_vampire_counts,Workable,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,skaven_0;vampire_counts_0,Non-Order pragmatic-alliance prior; not a numeric diplomatic guarantee,"Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",,Vermintide war declaration explicitly excludes teammates; this is not blanket protection against all Under-City damage. Barrow Legion has +30 WoC/Beastmen/Norsca relations and faction Chaos-attrition immunity.,False,Extended requires shared atlas theater AND (at most six raster borders OR at most 75 logical units)
wh2_dlc09_tmb_exiles_of_nehek,wh2_dlc11_cst_the_drowned,wh3_main_combi_region_clarak_spire,wh3_main_combi_region_the_twisted_glade,wh3_main_combi_province_red_desert,wh3_main_combi_province_the_clawed_coast,123.373181,6,False,False,cai_region_hint_area_naggarond,naggarond,Extended,True,Shared atlas theater and either at most six raster borders or at most 75 logical units,exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,,,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,Exiles of Nehek,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,The Drowned,vampire_coast,wh2_dlc11_sc_cst_vampire_coast,Conflict,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,tomb_kings_0;tomb_kings_1;vampire_coast_0,Opposed Tomb King ecosystem prior,"Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",,Human participants lock Cult confederation rituals. Books of Nagash are competitive shared multiplayer rewards; team ownership does not duplicate them. Coast cannot confederate; alliances can transfer Shanty verses.,False,Diplomatic Conflict: Opposed Tomb King ecosystem prior
wh2_dlc09_tmb_followers_of_nagash,wh2_dlc09_tmb_khemri,wh3_main_combi_region_wizard_caliphs_palace,wh3_main_combi_region_khemri,wh3_main_combi_province_land_of_assassins,wh3_main_combi_province_land_of_the_dead,118.443719,4,False,False,cai_region_hint_area_southlands,southlands,Extended,True,Shared atlas theater and either at most six raster borders or at most 75 logical units,exact_raster_mask_and_derived_centroid,exact_raster_mask_and_derived_centroid,convoy_road_combi,convoy_road_combi,Caravan/convoy links are context only; portal nodes lack general traversal eligibility; no shortcut inferred,False,Followers of Nagash,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Khemri,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Conflict,False,Partial: guide evidence plus analytical prior; generic modifier matrix unmeasured,arkhan_tombs;settra_vassal;tomb_kings_0;tomb_kings_1,"Same-race ecosystem prior Arkhan is not treated as a clean same-race partner. Pairings must use independent teammates, not a proposed Settra-vassal workaround. Partner appears in single-player faction objective(s); not treated as a multiplayer forced-war lock","Generic numeric aversion, opening treaties, all faction/lord/technology modifiers and multiplayer runtime behavior are not exhaustively exported; classes are analytical, not verified team legality.",wh2_dlc09_tmb_followers_of_nagash:short:001:DESTROY_FACTION;wh2_dlc09_tmb_khemri:short:001:DESTROY_FACTION,Arkhan starts at -60 Tomb King and +40 Vampiric Undead relations. All vassal actions against Khemri are disabled. Human participants lock Cult confederation rituals. Books of Nagash are competitive shared multiplayer rewards; team ownership does not duplicate them.,False,"Diplomatic Conflict: Same-race ecosystem prior Arkhan is not treated as a clean same-race partner. Pairings must use independent teammates, not a proposed Settra-vassal workaround. Partner appears in single-player faction objective(s); not treated as a multiplayer forced-war lock"
