faction_a_key,faction_b_key,faction_a_name,faction_b_name,previous_included,current_included,change,previous_proximity,current_proximity,previous_diplomacy,current_diplomacy,geographic_distance,reason
wh2_dlc09_skv_clan_rictus,wh3_dlc23_chd_astragoth,Clan Rictus,Disciples of Hashut,False,True,added,,Extended,,Workable,142.692497,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_dlc09_skv_clan_rictus,wh3_dlc23_chd_legion_of_azgorh,Clan Rictus,The Legion of Azgorh,True,True,retained,Regional,Regional,Workable,Workable,82.36425,Within 100 units with neighboring provinces or at most four raster borders
wh2_dlc09_skv_clan_rictus,wh3_dlc26_grn_gorbad_ironclaw,Clan Rictus,Ironclaw Orcs,True,True,retained,Immediate,Regional,Workable,Workable,82.634772,Within 100 units with neighboring provinces or at most four raster borders
wh2_dlc09_skv_clan_rictus,wh_main_grn_crooked_moon,Clan Rictus,Crooked Moon,True,True,retained,Regional,Regional,Workable,Workable,36.205539,Within 100 units with neighboring provinces or at most four raster borders
wh2_dlc09_tmb_exiles_of_nehek,wh2_dlc16_wef_sisters_of_twilight,Exiles of Nehek,Heralds of Ariel,True,True,retained,Regional,Regional,Workable,Workable,39.506327,Within 100 units with neighboring provinces or at most four raster borders
wh2_dlc09_tmb_exiles_of_nehek,wh2_main_def_cult_of_pleasure,Exiles of Nehek,Cult of Pleasure,True,True,retained,Regional,Regional,Workable,Workable,76.98727,Within 100 units with neighboring provinces or at most four raster borders
wh2_dlc09_tmb_exiles_of_nehek,wh2_main_def_hag_graef,Exiles of Nehek,Hag Graef,True,False,removed,Extended,Distant,Workable,Workable,427.418837,Outside frozen geographic envelope
wh2_dlc09_tmb_exiles_of_nehek,wh2_main_def_naggarond,Exiles of Nehek,Naggarond,True,True,retained,Extended,Extended,Workable,Workable,142.059347,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_dlc09_tmb_exiles_of_nehek,wh2_main_hef_nagarythe,Exiles of Nehek,Nagarythe,True,True,retained,Extended,Extended,Workable,Workable,147.357537,Shared atlas theater and either at most six raster borders or at most 75 world units
wh2_dlc09_tmb_exiles_of_nehek,wh3_dlc24_ksl_daughters_of_the_forest,Exiles of Nehek,Daughters of the Forest,True,True,retained,Regional,Regional,Workable,Workable,61.763277,Within 100 units with neighboring provinces or at most four raster borders
