faction_key,faction_name,race,start_region,qualifying_partners,unresolved_pair_count,zero_partner_reason,recovered_baseline_partners,baseline_underrepresentation
wh2_dlc09_skv_clan_rictus,Clan Rictus,skaven,wh3_main_combi_region_crookback_mountain,3,18,,0,not assessable: 123 of 124 baseline rows missing
wh2_dlc09_tmb_exiles_of_nehek,Exiles of Nehek,tomb_kings,wh3_main_combi_region_clarak_spire,7,18,,0,not assessable: 123 of 124 baseline rows missing
wh2_dlc09_tmb_followers_of_nagash,Followers of Nagash,tomb_kings,wh3_main_combi_region_wizard_caliphs_palace,1,18,,0,not assessable: 123 of 124 baseline rows missing
wh2_dlc09_tmb_khemri,Khemri,tomb_kings,wh3_main_combi_region_khemri,5,18,,0,not assessable: 123 of 124 baseline rows missing
wh2_dlc09_tmb_lybaras,Court of Lybaras,tomb_kings,wh3_main_combi_region_lybaras,3,18,,0,not assessable: 123 of 124 baseline rows missing
wh2_dlc11_cst_noctilus,The Dreadfleet,vampire_coast,wh3_main_combi_region_the_galleons_graveyard,0,18,no partner passes frozen rules among resolved starts; missing-start partners remain unknown,0,not assessable: 123 of 124 baseline rows missing
wh2_dlc11_cst_pirates_of_sartosa,Pirates of Sartosa,vampire_coast,wh3_main_combi_region_sartosa,1,18,,0,not assessable: 123 of 124 baseline rows missing
wh2_dlc11_cst_the_drowned,The Drowned,vampire_coast,wh3_main_combi_region_the_twisted_glade,3,18,,0,not assessable: 123 of 124 baseline rows missing
wh2_dlc11_cst_vampire_coast,The Awakened,vampire_coast,wh3_main_combi_region_the_awakening,2,18,,0,not assessable: 123 of 124 baseline rows missing
wh2_dlc11_def_the_blessed_dread,The Blessed Dread,dark_elves,wh3_main_combi_region_haichai,2,18,,0,not assessable: 123 of 124 baseline rows missing
wh2_dlc11_vmp_the_barrow_legion,The Barrow Legion,vampire_counts,wh3_main_combi_region_blackstone_post,1,18,,0,not assessable: 123 of 124 baseline rows missing
wh2_dlc12_lzd_cult_of_sotek,Cult of Sotek,lizardmen,wh3_main_combi_region_xlanzec,1,18,,0,not assessable: 123 of 124 baseline rows missing
wh2_dlc13_emp_golden_order,The Golden Order,empire,,0,103,"missing capital; zero observed, local viability unknown",0,not assessable: 123 of 124 baseline rows missing
wh2_dlc13_emp_the_huntmarshals_expedition,The Huntsmarshal's Expedition,empire,wh3_main_combi_region_temple_of_kara,2,18,,0,not assessable: 123 of 124 baseline rows missing
wh2_dlc13_lzd_spirits_of_the_jungle,Spirit of the Jungle,lizardmen,,0,103,"missing capital; zero observed, local viability unknown",0,not assessable: 123 of 124 baseline rows missing
wh2_dlc14_brt_chevaliers_de_lyonesse,Chevaliers de Lyonesse,bretonnia,wh3_main_combi_region_copher,2,18,,0,not assessable: 123 of 124 baseline rows missing
wh2_dlc15_grn_bonerattlaz,Bonerattlaz,greenskins,wh3_main_combi_region_khazid_irkulaz,4,18,,0,not assessable: 123 of 124 baseline rows missing
wh2_dlc15_grn_broken_axe,Broken Axe,greenskins,wh3_main_combi_region_massif_orcal,2,18,,0,not assessable: 123 of 124 baseline rows missing
wh2_dlc15_hef_imrik,Knights of Caledor,high_elves,wh3_main_combi_region_the_fortress_of_vorag,0,18,no partner passes frozen rules among resolved starts; missing-start partners remain unknown,0,not assessable: 123 of 124 baseline rows missing
wh2_dlc16_wef_drycha,Wargrove of Woe,wood_elves,wh3_main_combi_region_gryphon_wood,5,18,,0,not assessable: 123 of 124 baseline rows missing
wh2_dlc16_wef_sisters_of_twilight,Heralds of Ariel,wood_elves,wh3_main_combi_region_the_witchwood,4,18,,0,not assessable: 123 of 124 baseline rows missing
wh2_dlc17_bst_malagor,Harbinger of Disaster,beastmen,,0,103,"missing capital; zero observed, local viability unknown",0,not assessable: 123 of 124 baseline rows missing
wh2_dlc17_bst_taurox,Slaughterhorn Tribe,beastmen,,0,103,"missing capital; zero observed, local viability unknown",0,not assessable: 123 of 124 baseline rows missing
wh2_dlc17_dwf_thorek_ironbrow,Ironbrow's Expedition,dwarfs,wh3_main_combi_region_karak_zorn,5,18,,0,not assessable: 123 of 124 baseline rows missing
wh2_dlc17_lzd_oxyotl,Ghosts of Pahuax,lizardmen,wh3_main_combi_region_the_godless_crater,0,18,no partner passes frozen rules among resolved starts; missing-start partners remain unknown,0,not assessable: 123 of 124 baseline rows missing
wh2_main_def_cult_of_pleasure,Cult of Pleasure,dark_elves,wh3_main_combi_region_ancient_city_of_quintex,2,18,,0,not assessable: 123 of 124 baseline rows missing
wh2_main_def_hag_graef,Hag Graef,dark_elves,wh3_main_combi_region_hag_graef,4,18,,0,not assessable: 123 of 124 baseline rows missing
wh2_main_def_har_ganeth,Har Ganeth,dark_elves,wh3_main_combi_region_har_ganeth,2,18,,0,not assessable: 123 of 124 baseline rows missing
wh2_main_def_naggarond,Naggarond,dark_elves,wh3_main_combi_region_naggarond,4,18,,0,not assessable: 123 of 124 baseline rows missing
wh2_main_hef_avelorn,Avelorn,high_elves,wh3_main_combi_region_gaean_vale,2,18,,0,not assessable: 123 of 124 baseline rows missing
wh2_main_hef_eataine,Eataine,high_elves,wh3_main_combi_region_lothern,2,18,,0,not assessable: 123 of 124 baseline rows missing
wh2_main_hef_nagarythe,Nagarythe,high_elves,wh3_main_combi_region_the_monoliths,4,18,,0,not assessable: 123 of 124 baseline rows missing
wh2_main_hef_order_of_loremasters,Order of Loremasters,high_elves,wh3_main_combi_region_fortress_of_dawn,0,18,no partner passes frozen rules among resolved starts; missing-start partners remain unknown,0,not assessable: 123 of 124 baseline rows missing
